date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:43	2995/2995	---M--	200	added ('OK')	image/gif	etag:%222ca028a-bb3-54a258771ba52%22	http://tahsinscreation.com/mysite/resumate-updated/images/loading.gif	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/images/loading.gif	(from http://tahsinscreation.com/mysite/resumate-updated/css/lightbox.css)
16:17:44	1360/1360	---M--	200	added ('OK')	image/png	etag:%222ca028e-550-54a2587cec265%22	http://tahsinscreation.com/mysite/resumate-updated/images/prev.png	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/images/prev.png	(from http://tahsinscreation.com/mysite/resumate-updated/css/lightbox.css)
16:17:44	1350/1350	---M--	200	added ('OK')	image/png	etag:%222ca028c-546-54a2587a2344e%22	http://tahsinscreation.com/mysite/resumate-updated/images/next.png	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/images/next.png	(from http://tahsinscreation.com/mysite/resumate-updated/css/lightbox.css)
16:17:44	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Mar%202017%2010:43:28%20GMT	http://tahsinscreation.com/mysite/resumate-updated/css/grabbing.png	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/css/grabbing.png	(from http://tahsinscreation.com/mysite/resumate-updated/css/owl.carousel.css)
16:17:45	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Mar%202017%2010:43:28%20GMT	http://tahsinscreation.com/mysite/resumate-updated/css/AjaxLoader.gif	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/css/AjaxLoader.gif	(from http://tahsinscreation.com/mysite/resumate-updated/css/owl.theme.css)
16:17:47	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222ca0274-2876e-54a2584f53b47%22	http://tahsinscreation.com/mysite/resumate-updated/fonts/fontawesome-webfont.eot?v=4.7.0	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/fonts/fontawesome-webfont3e6e.eot	(from http://tahsinscreation.com/mysite/resumate-updated/css/font-awesome.min.css)
16:17:47	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222ca0274-2876e-54a2584f53b47%22	http://tahsinscreation.com/mysite/resumate-updated/fonts/fontawesome-webfont.eot?	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/fonts/fontawesome-webfontd41d.eot	(from http://tahsinscreation.com/mysite/resumate-updated/css/font-awesome.min.css)
16:17:54	165548/165548	---M--	200	added ('OK')	application/x-font-ttf	etag:%222ca0276-286ac-54a25852280f6%22	http://tahsinscreation.com/mysite/resumate-updated/fonts/fontawesome-webfont.ttf?v=4.7.0	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/fonts/fontawesome-webfont3e6e.ttf	(from http://tahsinscreation.com/mysite/resumate-updated/css/font-awesome.min.css)
16:18:18	188429/188429	---M--	200	added ('OK')	image/jpeg	etag:%222ca028f-2e00d-54a25880da3d4%22	http://tahsinscreation.com/mysite/resumate-updated/images/skill-bg.jpg	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/images/skill-bg.jpg	(from http://tahsinscreation.com/mysite/resumate-updated/css/style.css)
16:18:53	363205/363205	---M--	200	added ('OK')	image/jpeg	etag:%222ca0287-58ac5-54a258751a780%22	http://tahsinscreation.com/mysite/resumate-updated/images/experience-bg.jpg	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/images/experience-bg.jpg	(from http://tahsinscreation.com/mysite/resumate-updated/css/style.css)
16:18:53	427824/427824	---M--	200	added ('OK')	image/jpeg	etag:%222ca028d-68730-54a25880d3a5c%22	http://tahsinscreation.com/mysite/resumate-updated/images/particle-bg.jpg	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/images/particle-bg.jpg	(from http://tahsinscreation.com/mysite/resumate-updated/css/style.css)
16:18:53	582/582	---M--	200	added ('OK')	text/css	etag:%222ca0269-246-54a38891bf10f%22	http://tahsinscreation.com/mysite/resumate-updated/css/preview.css	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/css/preview.css	(from http://tahsinscreation.com/mysite/resumate-updated/index.html)
16:18:54	40850/40850	---M-Z	200	added ('OK')	text/html	etag:%222ca025e-9f92-54a2583683410-gzip%22	http://tahsinscreation.com/mysite/resumate-updated/index-youtube.html	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/index-youtube.html	(from http://tahsinscreation.com/mysite/resumate-updated/index.html)
16:19:10	100090/100090	---M--	200	added ('OK')	image/jpeg	etag:%222ca02b8-186fa-54a38875c7cb2%22	http://tahsinscreation.com/mysite/resumate-updated/images/preview/img1.jpg	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/images/preview/img1.jpg	(from http://tahsinscreation.com/mysite/resumate-updated/index.html)
16:19:10	40560/40560	---M-Z	200	added ('OK')	text/html	etag:%222ca0259-9e70-54a25835a516c-gzip%22	http://tahsinscreation.com/mysite/resumate-updated/index-particle.html	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/index-particle.html	(from http://tahsinscreation.com/mysite/resumate-updated/index.html)
16:19:16	134360/134360	---M--	200	added ('OK')	image/jpeg	etag:%222ca02b7-20cd8-54a38874d4a05%22	http://tahsinscreation.com/mysite/resumate-updated/images/preview/img2.jpg	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/images/preview/img2.jpg	(from http://tahsinscreation.com/mysite/resumate-updated/index.html)
16:19:25	88146/88146	---M--	200	added ('OK')	image/jpeg	etag:%222ca02b9-15852-54a38877b5f0c%22	http://tahsinscreation.com/mysite/resumate-updated/images/preview/img3.jpg	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/images/preview/img3.jpg	(from http://tahsinscreation.com/mysite/resumate-updated/index.html)
16:19:25	3983/3983	---M--	200	added ('OK')	text/css	etag:%222ca026c-f8f-54a25843df5f6%22	http://tahsinscreation.com/mysite/resumate-updated/css/single-blog.css	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/css/single-blog.css	(from http://tahsinscreation.com/mysite/resumate-updated/single-blog.html)
16:19:32	98609/98609	---M--	200	added ('OK')	image/jpeg	etag:%222ca02ba-18131-54a38877f376f%22	http://tahsinscreation.com/mysite/resumate-updated/images/preview/img4.jpg	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/images/preview/img4.jpg	(from http://tahsinscreation.com/mysite/resumate-updated/index.html)
16:19:34	6285/6285	---M--	200	added ('OK')	image/jpeg	etag:%222ca02ac-188d-54a258a7965c4%22	http://tahsinscreation.com/mysite/resumate-updated/images/comment/img1.jpg	D:/Sara/Portfolios/tahsinscreation.com/mysite/resumate-updated/images/comment/img1.jpg	(from http://tahsinscreation.com/mysite/resumate-updated/single-blog.html)
